ID,  Milk,PetFood,Veggies,Cereal, Bread,  Rice,  Meat,  Eggs,Yogurt, Chips,  Cola, Fruit
 1,     4,     7,     7,     9,     8,     7,     4,     4,     4,     5,     4,     3
 2,    10,     6,     7,     6,     6,     9,     4,     4,     4,     7,     6,     6
 3,     3,     6,     5,     6,     9,     5,     8,     6,     2,     6,     8,     1
 4,     6,     7,     5,     9,     7,     9,     3,     5,     4,     6,     5,     6
 5,     3,     3,     9,     3,     0,    10,    10,     8,     8,     2,     0,     7
 6,     7,     4,     6,     7,     9,     8,     5,     5,     6,     6,     6,     3
 7,     8,     4,     3,     8,     7,     8,     4,     6,     7,     7,     3,     3
 8,     7,     4,     9,     8,     6,     8,     3,     6,     4,     2,     5,     7
 9,    10,     5,    10,    10,     7,     8,     6,     4,     2,     4,     4,     5
10,     2,     2,     9,     1,     3,     9,     5,     4,     8,     2,     0,     8
11,     7,     5,     4,    10,     5,     1,     5,     5,     2,     6,     9,     4
12,     2,     3,    10,     1,     1,     9,     9,     4,     8,     3,     2,     8
13,     9,     3,    10,     9,     6,     7,     6,     4,     3,     3,     3,     5
14,     9,     3,     9,     6,     5,     9,     3,     5,     7,     4,     2,     5
15,     6,     3,     4,     9,     4,     1,    10,     5,     2,     5,    10,     3
16,     6,     8,     5,     8,     5,     1,     7,     3,     0,     6,     9,     2
17,     2,     3,     3,    10,     6,     1,     5,     6,     1,     7,     9,     1
18,     9,     6,     6,    10,     8,     8,     3,     4,     7,     3,     3,     6
19,     7,     6,     8,     8,     8,     4,     8,     7,     1,     6,     8,     4
20,     6,     6,     9,     7,     9,     9,     6,     3,     6,     1,     3,     4
21,     4,     2,     5,     7,     4,     0,     6,     6,     2,     5,    10,     4
22,     7,     6,     6,     8,     7,     8,     3,     8,     5,     1,     5,     7
23,     5,     6,     5,     8,     5,     2,     7,     6,     4,     5,     9,     3
24,    10,     7,     8,     8,     6,    10,     2,     7,     8,     3,     2,     6
25,     3,     5,     6,     4,     5,     5,     6,     5,     1,    10,    10,     3
26,     7,     7,     8,     9,     5,    10,     5,     5,     7,     2,     2,     4
27,     5,     4,     5,     7,     6,     2,     9,     6,     2,     7,    10,     3
28,     8,     5,     8,     8,     6,     7,     3,     6,     7,     4,     1,     7
29,     8,     5,     9,    10,     6,     9,     3,     7,     7,     3,     2,     3
30,     4,     6,     5,    10,     6,     4,     8,     5,     1,     7,     8,     4
31,     8,     2,     6,     7,     6,     8,     3,     5,     5,     2,     3,     4
32,     7,     6,     9,     8,     2,     8,     3,     5,     5,     3,     2,     5
33,     5,     1,    10,     0,     3,    10,     7,     7,     9,     2,     3,    10
34,    10,     5,     7,     8,     7,    10,     2,     7,     4,     2,     4,     8
35,     2,     2,     8,     0,     2,     9,     8,     4,     7,     3,     1,     8
36,     4,     2,    10,     0,     3,     8,     8,     5,     8,     2,     0,     7
37,     6,     5,     5,     6,     6,     5,     8,     6,     2,     6,     8,     3
38,     8,     5,     9,     7,     8,     5,     5,     4,     6,     0,     2,     5
39,     4,     4,     9,     0,     2,     9,     8,     5,    10,     4,     0,     9
40,     2,     0,     8,     2,     2,     9,     7,     2,     9,     1,     2,     8
41,     7,     5,     6,     6,     4,     3,     7,     4,     2,     8,     9,     2
42,     6,     4,     5,     8,     7,     4,     7,     4,     3,     8,    10,     5
43,     6,     5,     6,     6,     6,     2,     4,     7,     1,     4,     9,     1
44,     4,     5,     5,     6,     6,     2,     9,     4,     1,     9,    10,     2
45,     5,     4,     7,     8,     7,    10,     6,     7,     6,     2,     2,     6
46,     9,     6,     9,     7,     7,     9,     6,     6,     5,     4,     4,     6
47,     7,     7,     8,     7,     7,     9,     2,     5,     5,     5,     3,     5
48,     6,     4,     7,     8,     7,     7,     6,     5,     4,     3,     7,     5
49,     5,     8,     4,     7,     5,     3,    10,     5,     0,     7,    10,     1
50,     6,     3,     2,     7,     7,     5,     8,     5,     2,     5,    10,     7
51,     1,     4,    10,     2,     0,     8,     6,     5,     7,     3,     2,     7
52,     7,     4,     4,     7,     6,     3,     8,     1,     4,     6,     9,     2
53,     2,     4,     9,     0,     2,     8,     7,     4,     9,     2,     2,     7
54,     7,     5,     4,     7,     6,     4,     6,     4,     3,     5,     7,     4
55,     4,     6,     4,     6,     6,     2,     7,     5,     3,     6,     9,     4
56,     4,     5,     5,     7,     8,     2,     3,     6,     3,     8,    10,     4
57,     8,     6,     8,     9,     7,    10,     7,     4,     5,     3,     5,     5
58,     5,     6,     7,     6,     3,     1,     6,     5,     5,     7,     9,     4
59,     7,     7,     7,     5,     3,     7,     4,     6,     5,     1,     3,     5
60,     9,     3,     8,     8,     7,     9,     4,     3,     3,     1,     2,     5
61,     1,     3,     9,     0,     2,    10,     5,     5,     7,     3,     1,    10
62,     9,     5,     7,     7,     6,     8,     8,     6,     4,     4,     2,     5
63,     5,     3,     7,     7,     4,     4,     5,     7,     3,     8,     9,     3
64,     8,     4,    10,     9,     8,     9,     6,     3,     6,     3,     2,     8
65,     3,     7,     7,     9,     6,     1,     9,     5,     2,    10,    10,     4
66,     5,     5,     5,     5,     4,     3,     7,     7,     2,     7,     8,     2
67,     7,     5,     4,     7,     4,     3,     8,     4,     2,     6,    10,     2
68,     7,     7,     7,     7,     5,     6,     4,     7,     8,     2,     4,     3
69,     9,     5,     5,     8,     5,     8,     4,     6,     5,     5,     2,     5
70,     8,     4,     8,     6,     5,     9,     2,     2,     4,     1,     3,     6
71,     4,     5,     6,     5,     5,     3,     6,     5,     2,     9,     8,     5
72,     7,     2,     5,     5,     6,     0,     8,     6,     4,     6,     9,     2
73,     6,     7,     7,     7,     5,     9,     4,     4,     5,     4,     3,     2
74,     4,     5,     4,     8,     6,     2,     8,     4,     0,     7,     9,     1
75,     2,     0,     9,     1,     1,     9,     9,     4,     6,     3,     3,     9
76,    10,     4,     8,     9,     5,     9,     5,     6,     4,     2,     3,     4
77,    10,     5,     7,     9,     7,     9,     3,     3,     7,     4,     2,     6
78,     4,     6,     3,     7,     4,     3,     8,     7,     1,     8,     9,     0
79,     4,     7,     8,     6,     4,     3,     8,     5,     1,     7,     9,     5
80,     7,     6,     5,     5,     7,     1,     6,     4,     4,     6,     8,     7
81,     4,     5,     8,     9,     7,     1,     7,     4,     3,     7,     8,     1
82,    10,     5,     8,     5,     6,     8,     3,     5,     7,     3,     5,     3
83,     7,     2,     7,     9,     8,    10,     5,     6,     8,     2,     1,     5
84,    10,     6,     7,     8,     8,     8,     6,     5,     7,     1,     4,     5
85,     2,     3,     9,     1,     3,     8,     9,     6,     8,     2,     0,     8
86,     2,     0,     8,     0,     2,    10,     8,     5,     8,     0,     1,     9
87,     6,     2,     4,     6,     5,     0,     6,     6,     1,     6,    10,     5
88,     2,     1,     9,     0,     1,     9,     6,     6,     8,     1,     2,     8
89,     8,     5,     9,     9,     4,    10,     2,     6,     7,     3,     3,     7
90,     7,     4,     6,     7,     6,     3,     6,     5,     0,     4,     9,     4
91,     8,     5,     9,     9,     8,     9,     6,     4,     6,     3,     2,     4
92,     6,     5,     5,     6,     6,     6,     6,     5,     0,     8,    10,     3
93,     6,     5,     4,     7,     7,     1,     6,     5,     1,     5,    10,     3
94,     9,     3,     9,     9,     7,     6,     5,     5,     6,     4,     3,     6
95,     4,     3,     8,     0,     1,     9,     7,     5,     9,     4,     1,     7
96,     6,     4,     8,     7,     8,     7,     2,     4,     5,     4,     4,     3
97,     7,     4,     9,     6,     6,     8,     1,     7,     6,     1,     2,     4
98,     7,     6,     7,    10,     6,    10,     6,     7,     7,     1,     3,     5
99,     7,     3,     7,     4,     7,     2,     8,     7,     2,     2,     9,     2
100,     4,     5,     2,     6,     6,     0,     5,     3,     0,     6,     9,     1
101,     6,     1,    10,     1,     3,     9,     9,     7,     8,     3,     2,     9
102,     5,     3,     7,    10,     9,     8,     3,     4,     5,     3,     1,     9
103,     9,     4,     6,     7,     6,     9,     5,     5,     3,     4,     4,     6
104,     4,     5,     4,     8,     2,     1,     5,     2,     1,     6,     9,     5
105,     6,     4,     8,     8,     6,     9,     1,     4,     5,     3,     1,     5
106,     6,     4,     4,     7,     4,     1,     7,     6,     1,     8,     9,     7
107,     1,     3,    10,     1,     1,     9,     8,     5,     7,     2,     0,     8
108,     5,     4,     5,     7,     5,     4,     7,     4,     3,     6,     9,     3
109,     4,     2,     4,     7,     1,     1,     6,     6,     1,     8,     8,     3
110,     7,     6,     8,     9,     7,     7,     6,     6,     3,     4,     3,     3
111,     8,     6,     6,    10,     6,     9,     3,     3,     7,     3,     0,     6
112,     2,     1,    10,     0,     3,     7,     8,     6,     8,     2,     2,     9
113,     8,     2,     8,     9,     8,     9,     2,     6,     2,     2,     3,     5
114,     8,     5,     8,     8,     8,     9,     2,     5,     6,     2,     0,     5
115,     2,     1,     9,     2,     0,    10,     7,     6,    10,     4,     1,     8
116,     8,     3,     5,     7,     8,     5,     6,     4,     2,     5,    10,     2
117,     6,     4,     7,     7,     6,    10,     4,     3,     3,     3,     4,     6
118,     6,     6,     2,     6,     5,     2,     6,     5,     1,     4,     8,     2
119,     4,     5,     6,     7,     4,     3,     7,     5,     1,     8,     9,     3
120,     7,     6,     6,     9,     7,    10,     6,     3,     4,     1,     5,     5
121,     5,     5,     8,     9,     7,     8,     5,     5,     7,     5,     3,     7
122,     6,     5,     5,     8,     7,     7,     4,     6,     2,     4,     3,     6
123,     6,     3,     6,     8,     8,     9,     7,     6,     6,     3,     5,     3
124,     7,     5,     6,     8,     7,     3,     6,     7,     1,     9,     9,     0
125,     8,     4,     9,     7,     7,    10,     5,     3,     6,     3,     6,     6
126,     4,     4,     4,     8,     6,     6,     8,     4,     0,     5,     9,     5
127,     4,     3,     4,     7,     5,     2,     7,     5,     2,     7,     8,     4
128,     1,     1,     7,     1,     0,    10,     6,     4,    10,     4,     1,     8
129,     8,     4,     7,    10,     5,     8,     4,     8,     3,     7,     1,     5
130,     6,     3,     9,    10,     7,     8,     5,     3,     4,     4,     3,     5
131,     3,     4,     5,     7,     9,     3,     7,     5,     3,     6,     9,     3
132,     2,     2,     8,     1,     1,     9,     7,     6,     8,     3,     2,     6
133,     2,     5,     4,     8,     6,     6,     6,     5,     1,     5,     8,     4
134,     1,     2,     8,     1,     2,     7,     9,     4,    10,     2,     2,     7
135,     2,     2,    10,     1,     1,     9,     7,     2,     9,     4,     0,     9
136,     2,     1,     9,     1,     0,     9,     7,     6,    10,     1,     2,     7
137,     6,     4,     8,     8,     8,     8,     3,     3,     7,     3,     2,     6
138,     8,     4,     9,     8,     6,    10,     3,     4,     3,     3,     1,     6
139,     1,     0,     9,     2,     0,    10,     9,     5,    10,     2,     0,     8
140,     8,     5,     9,     8,     8,     7,     5,     6,     4,     2,     1,     6
141,     5,     4,     8,     6,     8,     9,     7,     5,     7,     2,     2,     3
142,     7,     6,     8,     8,     4,     3,     5,     5,     1,     8,    10,     4
143,     5,     7,     6,    10,     5,     7,     5,     3,     6,     6,     0,     5
144,     8,     6,     5,     9,     6,     9,     3,     4,     6,     3,     2,     5
145,     4,     6,     3,     6,     5,     2,     9,     8,     1,     7,     4,     5
146,     7,     6,     5,     7,     8,     8,     3,     5,     6,     2,     5,     2
147,     6,     5,     4,     7,     5,     1,     8,     5,     3,     4,    10,     3
148,     6,     5,     7,     7,     4,     0,     7,     4,     2,     8,     9,     4
149,     6,     4,     7,     8,     4,    10,     4,     6,     5,     3,     3,     6
150,     7,     7,     7,     9,     8,     9,     3,     6,     7,     2,     5,     5
151,     7,     4,    10,     5,     7,     8,     4,     3,     3,     1,     0,     7
152,     8,     6,     8,     6,     8,     7,     4,     7,     4,     3,     3,     6
153,     5,     5,     4,     4,     7,     5,     8,     5,     3,     6,    10,     4
154,     5,     5,     3,     7,     6,     3,     7,     5,     2,     6,     9,     4
155,     1,     3,     5,     9,     6,     3,     7,     6,     3,     7,    10,     4
156,     8,     6,     9,     7,     6,     8,     4,     1,     6,     2,     2,     5
157,     5,     7,     3,     8,     7,     0,     6,     3,     4,     4,    10,     3
158,    10,     6,     6,     7,     6,    10,     2,     7,     6,     1,     3,     4
159,     8,     8,     6,     7,    10,     7,     5,     8,     4,     6,     3,     4
160,     7,     6,     9,     8,     6,     9,     5,     3,     5,     2,     0,     6
161,     6,     3,     4,     7,     5,     3,     6,     3,     2,     7,     9,     1
162,     8,     3,     6,     9,     6,     7,     3,     5,     7,     3,     3,     4
163,     8,     5,     5,    10,     8,     8,     4,     6,     4,     2,     2,     6
164,     5,     5,     6,     6,     4,     3,     4,     8,     0,     5,    10,     4
165,     8,     4,     6,     8,     6,     9,     3,     7,     6,     3,     3,     7
166,     4,     5,     4,     7,     8,     4,     6,     5,     2,     8,    10,     4
167,     4,     2,     4,     9,     4,     3,     5,     2,     3,     6,     8,     4
168,     9,     6,     8,     7,     6,     7,     2,     4,     7,     1,     5,     8
169,     3,     3,     7,     0,     0,     9,     6,     5,     5,     1,     2,     8
170,     6,     5,     3,     7,     5,     2,     5,     4,     5,     8,    10,     4
171,     5,     4,     8,     7,     8,     8,     4,     5,     8,     2,     5,     5
172,     7,     6,     6,     7,     7,     8,     4,     7,     5,     4,     2,     5
173,     5,     8,     5,     9,    10,     3,     6,     3,     1,     7,    10,     3
174,     6,     6,     4,     6,     6,     2,     8,     3,     0,     6,     9,     2
175,     9,     5,     8,     9,     8,     7,     5,     4,     2,     4,     2,     2
176,     8,     5,     8,     5,     7,     6,     2,     6,     5,     1,     2,     4
177,     7,     3,     9,     8,     5,     6,     3,     6,     8,     3,     3,     3
178,     5,     4,     7,     9,     7,     9,     4,     6,     6,     4,     1,     2
179,     8,     7,     5,     9,     4,     2,     6,     5,     1,     6,     7,     3
180,     9,     4,     8,     8,     8,     8,     5,     5,     7,     2,     3,     5
181,     7,     3,     9,     5,     7,     7,     4,     6,     8,     3,     4,     7
182,     6,     4,     6,     8,     3,     4,     6,     7,     4,     6,     9,     3
183,     8,     6,     8,     9,     6,     8,     5,     5,     4,     4,     3,     6
184,     9,     6,     7,     9,     7,     3,     5,     6,     2,     5,     8,     2
185,     2,     1,    10,     0,     1,     8,    10,     8,     9,     5,     1,     9
186,     6,     2,     9,     0,     1,     9,     8,     4,     8,     2,     3,    10
187,     8,     2,     7,     9,     6,     6,     5,     2,     6,     1,     2,     6
188,    10,     6,     7,     9,     5,     8,     5,     4,     3,     2,     2,     6
189,     8,     5,     9,     9,     4,     8,     2,     6,     6,     7,     2,     7
190,     4,     7,     4,     6,     6,     3,     6,     7,     4,    10,     9,     2
191,     9,     5,     9,     6,     7,     8,     4,     4,     6,     2,     3,     4
192,     1,     2,    10,     1,     0,    10,     6,     4,     7,     1,     1,     6
193,     3,     5,     5,     6,     6,     4,     6,     6,     2,     6,     9,     2
194,     7,     9,     8,     7,     8,     9,     7,     5,     5,     5,     0,     4
195,     6,     8,     6,     8,     5,     1,     6,     2,     3,     7,     8,     2
196,     2,     6,     6,     6,     4,     1,     8,     3,     1,     7,    10,     2
197,     1,     3,     8,     1,     0,    10,     9,     4,     9,     2,     1,     9
198,     4,     4,     5,     8,     5,     3,     7,     4,     0,     4,     9,     2
199,     8,     4,     8,    10,     6,     9,     3,     5,     4,     4,     2,     8
200,     2,     0,     7,     1,     0,     8,     9,     6,     8,     2,     0,     8
201,     9,     5,     7,     9,     5,     8,     3,     1,     4,     4,     3,     3
202,     7,     2,    10,     7,     7,     8,     4,     4,     3,     2,     3,     2
203,     2,     4,     5,     6,     6,     3,     8,     4,     2,     7,     7,     8
204,     6,     5,     3,    10,     4,     1,     4,     6,     2,     8,    10,     2
205,     6,     6,     4,     8,     5,     2,     8,     5,     0,     8,     8,     3
206,     4,     5,     6,     6,     6,     1,     8,     6,     0,     5,     8,     3
207,     1,     3,    10,     0,     1,     9,    10,     5,    10,     4,     2,     8
208,     4,     5,     4,     9,     6,     3,     5,     2,     2,     7,     9,     2
209,     3,     2,     9,     2,     0,     9,     9,     3,     7,     0,     0,     8
210,     7,     4,     7,     5,     6,     7,     1,     5,     6,     5,     1,     7
211,     3,     1,     9,     1,     1,     8,     6,     4,     8,     4,     0,     7
212,     3,     2,     2,     8,     5,     4,     9,     6,     2,     6,     8,     0
213,     1,     1,    10,     0,     1,    10,     5,     3,     9,     4,     0,     9
214,     9,     7,     9,    10,     7,     8,     4,     6,     8,     0,     2,     5
215,     5,     4,     6,     9,     8,     1,     8,     7,     3,     5,     7,     4
216,     6,     5,     9,    10,     3,     5,     4,     3,     5,     4,     1,     6
217,     2,     1,     9,     2,     2,     8,     9,     7,     8,     3,     1,    10
218,     9,     4,     8,     9,     8,     9,     2,     8,     3,     2,     6,     3
219,     3,     1,     9,     2,     1,     9,     8,     5,     5,     3,     0,     9
220,     3,     5,     9,     0,     3,     8,     7,     4,     8,     4,     0,     8
221,     8,     6,     8,     7,     7,     9,     4,     6,     9,     4,     5,     7
222,     8,     5,     6,     8,     6,     6,     4,     6,     7,     4,     1,     5
223,     8,     6,     4,     8,     4,     2,     5,     6,     2,     6,    10,     1
224,    10,     6,     5,     9,     6,     9,     3,     4,     4,     2,     5,     6
225,     5,     4,     5,     6,     4,     4,     8,     5,     4,     7,     8,     2
226,     5,     7,     3,    10,     4,     4,     7,     4,     3,     5,     9,     3
227,     7,     5,     8,    10,     9,     8,     3,     7,     4,     3,     5,     4
228,     8,     7,     7,     8,     5,     4,     8,     5,     3,     6,    10,     5
229,     5,     2,     4,     7,     5,     3,     6,     5,     4,     9,     8,     2
230,     9,     5,     9,     6,     6,    10,     7,     7,     4,     2,     4,     6
231,     3,     1,     9,     0,     1,     8,     7,     3,     8,     3,     0,     9
232,     1,     1,     8,     0,     2,     8,     8,     6,     9,     1,     1,     8
233,     5,     3,     1,     8,     8,     3,     9,     6,     1,     4,    10,     3
234,     5,     4,     6,     5,     7,     2,     7,     2,     3,     7,     9,     1
235,     9,     7,    10,     8,     7,     7,     6,     6,     6,     2,     1,     7
236,     9,     4,    10,     8,     6,     8,     3,     6,     3,     3,     1,     7
237,     5,     4,     8,     8,     5,     8,     3,     4,     6,     4,     3,     5
238,     4,     3,     5,     7,     7,     3,     5,     4,     1,     8,     9,     4
239,     2,     4,    10,     1,     4,     9,     8,     5,     8,     2,     1,     6
240,     1,     3,    10,     0,     2,    10,     9,     7,     9,     2,     3,     6
241,     4,     5,     6,     8,     3,     2,     5,     4,     4,     7,     9,     3
242,     7,     5,     8,    10,     7,     7,     5,     4,     5,     5,     1,     5
243,     6,     6,     6,     8,     4,     2,     6,     6,     0,     9,     8,     2
244,     9,     3,     7,     8,     5,     8,     7,     5,     4,     5,     4,     4
245,     8,     2,     8,     7,     6,     8,     2,     7,     4,     6,     4,     5
246,     6,     6,     4,     6,     6,     4,     3,     4,     4,     8,     9,     3
247,     5,     4,     3,     8,     7,     4,     5,     8,     1,     7,     9,     3
248,     5,     2,     5,     7,     4,     2,     7,     6,     2,     8,    10,     4
249,     3,     4,     6,     7,     6,     4,    10,     7,     4,     6,     9,     1
250,     4,     5,     3,     6,     7,     2,     6,     4,     2,     6,    10,     2
251,     3,     2,     9,     2,     3,    10,     9,     4,     8,     1,     3,     9
252,     9,     3,     9,     9,     5,    10,     6,     4,     7,     4,     6,     5
253,     3,     8,     4,     6,     4,     4,     5,     6,     2,     8,     9,     2
254,     4,     2,     8,     8,     4,    10,     3,     4,     8,     1,     1,     2
255,     7,     5,     9,     5,     6,    10,     4,     6,     8,     3,     4,     4
256,     6,     6,     4,     9,     4,     2,     6,     5,     2,     5,     9,     2
257,     6,     6,     8,     8,     6,     8,     2,     5,     4,     1,     1,    10
258,     0,     3,    10,     1,     1,     9,     6,     5,     7,     4,     0,     9
259,     2,     5,     5,     6,     6,     2,     7,     5,     2,     4,    10,     1
260,     9,     6,     7,     8,     8,     8,     3,     7,     6,     5,     4,     5
261,     9,     7,     8,     9,     5,     7,     4,     5,     6,     3,     3,     4
262,     1,     1,    10,     2,     0,     8,     9,     8,     7,     1,     1,     7
263,     3,     3,     5,     9,     4,     3,     7,     6,     4,     5,     8,     3
264,     5,     7,     5,     7,     5,     1,     7,     6,     2,     7,     9,     2
265,     7,     6,     8,     9,     9,     9,     5,     3,     7,     3,     3,     1
266,     8,     5,     8,     8,     6,     7,     3,     6,     6,     2,     1,     5
267,     9,     5,     9,     8,     6,     6,     6,     7,     4,     1,     3,     4
268,     3,     1,     8,     0,     0,     9,     9,     9,     8,     2,     1,     7
269,     3,     0,     9,     2,     3,    10,     8,     7,    10,     1,     1,     8
270,     8,     3,     5,    10,     8,     8,     4,     5,     4,     3,     2,     5
271,    10,     5,     9,     9,    10,     9,     3,     4,     4,     1,     5,     7
272,     2,     3,    10,     0,     3,    10,     8,     3,     7,     1,     2,     8
273,     4,     3,     7,     6,     3,     2,     6,     7,     3,     4,    10,     1
274,     8,     5,     9,     4,     3,     8,     3,     5,     7,     3,     3,     5
275,     7,     3,    10,     7,     5,     9,     3,     2,     7,     1,     3,     4
276,     2,     2,    10,     2,     1,     9,     8,     6,    10,     1,     1,     6
277,     5,     6,     6,     8,     6,     2,     7,     5,     1,     6,    10,     3
278,     9,     2,     8,    10,     8,    10,     6,     5,     6,     4,     3,     3
279,     9,     7,     8,     9,     7,     8,     4,     5,     6,     5,     4,     3
280,     8,     4,     8,     8,     7,    10,     3,     5,     4,     4,     4,     3
281,     5,     7,     8,     8,     6,     9,     2,     7,     7,     3,     4,     7
282,     4,     3,     3,     6,     5,     2,     6,     4,     3,     8,     9,     4
283,     2,     2,     9,     0,     1,    10,     6,     5,     7,     4,     1,     8
284,     1,     0,    10,     2,     2,     8,     9,     6,     7,     3,     1,     9
285,     7,     5,     7,     5,     6,     3,     7,     7,     5,     5,     9,     4
286,     4,     4,     4,     5,     6,     4,     6,     3,     0,     7,     7,     2
287,     3,     1,    10,     0,     1,     9,     6,     5,     8,     1,     1,     9
288,     6,     5,     5,     6,     4,     3,     9,     4,     1,     4,    10,     1
289,     0,     3,    10,     0,     0,     9,     9,     4,     8,     7,     1,     9
290,     2,     1,     9,     1,     3,     7,     7,     6,     9,     2,     0,     8
291,     4,     5,     3,     4,     7,     1,     3,     5,     2,     5,    10,     6
292,     5,     8,     2,     8,     5,     3,     4,     5,     4,     7,    10,     3
293,     6,     6,     7,     7,     4,     9,     1,     6,     6,     3,     3,     5
294,     1,     3,     8,     0,     2,     8,     6,     4,     7,     2,     1,     7
295,     7,     3,     6,     8,     9,     7,     5,     2,     4,     3,     1,     6
296,     7,     4,     8,     8,     6,     6,     5,     5,     5,     2,     1,     4
297,     6,     2,     4,     6,     7,     0,     4,     3,     3,     5,     8,     2
298,     9,     4,     9,     8,     7,     7,     7,     6,     6,     3,     0,     5
299,     8,     3,     7,     7,     6,     9,     5,     3,     7,     2,     3,     5
300,     7,     5,     9,     8,     8,     9,     5,     6,     6,     3,     4,     4
301,     5,     5,     2,     4,     6,     3,     9,     5,     2,     7,     8,     4
302,    10,     3,     6,     8,     5,     8,     2,     4,     6,     4,     4,     3
303,     1,     5,     5,     8,     5,     3,     8,     5,     3,     5,     9,     5
304,     7,     5,     7,     9,     8,    10,     5,     6,     4,     1,     3,     4
305,     6,     5,     9,     9,     8,     8,     3,     6,     7,     1,     1,     7
306,     1,     3,    10,     2,     1,     9,    10,     4,     9,     3,     1,     8
307,     6,     4,    10,    10,     5,     9,     3,     5,     4,     4,     2,     2
308,     3,     5,     2,     6,     5,     0,     7,     4,     3,     7,    10,     2
309,     5,     5,     7,     7,     7,     2,     6,     6,     1,     3,     9,     5
310,     7,     3,     4,     7,     5,     3,     3,     7,     1,     7,    10,     3
311,     8,     4,     8,     7,     6,     9,     5,     4,     6,     2,     4,     6
312,     4,     6,     6,     8,     8,     0,     7,     5,     2,     8,     7,     2
313,     2,     1,     9,     2,     1,     9,     6,     5,     7,     5,     0,     5
314,     6,     6,     4,     7,     5,     1,     6,     6,     2,     8,     9,     3
315,     3,     4,     4,     6,     6,     5,     8,     7,     3,     6,     9,     2
316,     4,     4,     6,     6,     9,     2,     8,     5,     1,     8,     8,     3
317,     3,     1,     9,     2,     2,     9,     9,     3,     9,     2,     2,     9
318,     3,     2,    10,     1,     2,     8,     7,     6,     9,     1,     3,     9
319,     1,     0,    10,     0,     3,    10,    10,     5,     8,     2,     2,     9
320,     4,     5,     5,     7,     6,     2,     5,     6,     2,     7,     9,     2
321,     8,     3,     7,     8,     6,     9,     3,     5,     5,     3,     2,     5
322,     6,     7,     6,     8,     6,     8,     4,     7,     3,     4,     1,     5
323,     6,     2,     5,     9,     8,     8,     1,     5,     7,     1,     4,     7
324,     6,     4,     9,    10,     6,    10,     4,     5,     5,     4,     1,     3
325,    10,     4,     7,     7,     5,    10,     3,     5,     6,     3,     4,     7
326,     6,     3,     3,     9,     5,     4,     6,     6,     1,     6,     9,     0
327,     3,     3,     9,     1,     2,     8,     8,     7,     8,     1,     1,     9
328,     8,     5,     9,     7,     6,     8,     4,     5,     3,     5,     2,     5
329,     8,     6,     7,     8,     6,     9,     4,     6,     6,     1,     2,     5
330,     6,     4,     7,     9,     6,     9,     4,     7,     4,     3,     5,     8
331,     7,     6,     9,     9,     7,     9,     1,     6,     4,     2,     5,     5
332,     9,     4,     7,     7,     8,     9,     2,     4,     4,     4,     3,     6
333,     4,     3,     5,     7,     9,     2,     7,     5,     3,     8,     8,     3
334,     3,     4,     7,     9,     4,     4,     4,     6,     2,     7,     9,     2
335,     7,     4,     8,     8,     6,     5,     2,     4,     4,     3,     1,     3
336,     5,     4,     7,     8,     5,     1,     9,     4,     0,     5,     9,     2
337,     9,     5,    10,     8,     6,     7,     3,     6,     6,     0,     1,     4
